Time(s),Instance_0,Instance_1,Instance_2,Instance_3
5s,100.56,100.56,100.56,100.36
10s,98.81,98.21,98.21,98.20
15s,100.80,100.20,100.80,100.40
20s,100.60,100.60,100.40,100.20
25s,100.60,100.80,100.80,100.40
30s,100.80,100.80,100.60,100.60
35s,100.20,100.40,100.00,100.20
40s,100.00,100.00,99.20,100.00
45s,100.60,100.80,100.00,100.40
50s,100.40,100.40,100.00,100.20
55s,100.40,100.40,99.60,100.40
60s,100.60,100.80,100.60,100.60
65s,100.60,100.80,100.20,100.60
70s,100.80,100.80,100.20,100.80
75s,100.60,101.00,100.40,100.80
80s,100.40,100.60,100.40,100.60
85s,100.60,100.80,100.40,100.60
90s,100.60,100.80,100.40,100.60
95s,100.60,100.80,100.40,100.60
100s,100.60,100.80,100.00,100.80
105s,100.80,100.80,100.80,100.60
110s,100.20,100.40,100.00,100.40
115s,100.40,100.60,100.20,100.40
120s,102.00,102.00,101.60,101.80
125s,100.60,100.80,100.80,100.40
130s,100.60,100.80,100.60,100.60
135s,100.80,100.80,100.80,100.80
140s,100.80,100.60,100.60,100.40
145s,100.60,100.80,100.60,100.80
150s,100.60,100.80,100.60,100.60
155s,100.80,101.00,100.80,101.00
160s,100.80,100.80,100.80,100.80
165s,101.00,101.00,101.00,101.00
170s,100.60,100.80,100.80,100.80
175s,100.80,100.80,100.80,100.80
180s,100.80,,,
Final_Avg_EPS,100.59,100.66,100.41,100.54
