Time(s),Instance_0,Instance_1,Instance_2,Instance_3,Instance_4,Instance_5,Instance_6,Instance_7,Instance_8,Instance_9,Instance_10,Instance_11,Instance_12,Instance_13,Instance_14,Instance_15
5s,80.57,101.36,100.76,100.96,101.56,78.97,98.56,100.96,100.36,101.76,93.16,98.56,100.96,100.76,78.16,80.76
10s,79.20,102.21,101.61,101.80,101.81,79.40,101.21,101.41,100.00,101.41,97.61,102.00,101.21,101.61,77.60,78.60
15s,79.60,102.00,102.20,102.20,86.20,79.60,100.40,102.20,99.40,101.80,98.00,99.20,99.60,102.20,78.80,94.20
20s,79.40,102.20,101.40,101.40,79.00,79.40,100.20,102.00,99.80,101.80,97.40,101.60,101.40,102.20,78.80,101.80
25s,78.80,101.20,99.60,101.80,79.40,78.80,102.20,102.00,100.40,101.00,99.80,97.20,101.20,98.80,78.40,102.20
30s,79.20,101.20,98.00,102.00,79.60,79.60,101.00,100.40,99.80,101.60,102.00,97.20,102.00,102.00,77.80,102.00
35s,79.40,100.20,100.00,101.20,79.20,79.00,101.00,101.20,101.80,100.80,101.60,97.80,102.20,102.20,78.40,101.80
40s,79.40,101.40,100.80,101.80,79.20,79.40,101.80,101.60,102.00,101.80,102.00,97.60,102.20,102.40,78.80,102.20
45s,79.40,101.20,99.20,101.40,79.20,78.60,100.60,102.00,99.60,100.20,101.40,91.20,102.00,102.20,74.80,100.81
50s,79.40,99.80,94.40,100.60,83.60,78.20,101.40,101.60,100.00,100.80,100.60,90.60,95.60,100.99,85.00,101.60
55s,75.20,77.60,88.60,100.40,100.60,101.40,101.00,101.80,99.80,81.40,101.60,101.60,78.59,101.61,97.20,101.20
60s,79.40,78.60,101.20,101.80,102.20,101.60,100.60,102.00,98.60,78.00,101.40,101.80,79.21,102.40,94.00,102.00
65s,79.40,78.20,97.79,102.00,102.00,102.00,101.60,101.20,100.20,77.80,100.80,101.00,78.20,102.00,94.80,101.00
70s,79.40,78.80,100.21,101.60,102.20,102.00,102.00,102.20,101.80,78.79,100.00,101.20,79.20,101.60,99.40,102.20
75s,79.60,79.00,101.40,102.00,101.40,102.00,97.20,102.20,101.60,79.01,100.00,99.60,79.00,101.40,98.60,97.80
80s,79.60,79.20,102.00,101.20,102.20,101.40,99.80,102.00,101.60,79.00,99.80,101.80,79.00,101.80,99.60,101.60
85s,86.00,78.20,98.40,101.40,101.00,98.60,100.60,98.80,99.40,79.40,99.00,94.00,79.00,99.80,98.60,100.60
90s,101.60,93.20,102.20,102.00,101.80,102.00,84.60,102.00,100.20,78.80,99.00,79.60,79.20,99.20,98.80,102.20
95s,102.00,102.00,102.00,102.00,101.60,101.00,78.60,102.20,101.60,78.60,99.00,78.80,78.60,99.38,100.00,101.59
100s,101.60,101.40,101.60,101.60,101.80,101.80,79.20,100.80,101.60,78.40,99.60,79.40,78.80,100.62,99.40,101.81
105s,101.20,102.00,101.37,101.80,101.80,101.40,77.00,99.60,100.40,77.80,99.00,78.80,79.20,101.80,97.60,102.00
110s,101.20,101.80,101.63,101.60,101.80,100.40,79.20,99.80,101.60,78.20,101.40,79.00,79.00,102.40,99.40,102.20
115s,101.40,100.80,102.00,101.60,101.80,98.52,78.40,92.57,100.00,77.40,96.60,81.20,87.80,101.40,99.80,99.40
120s,98.60,99.00,101.20,102.00,101.80,99.68,79.60,79.23,102.40,79.20,102.20,101.40,97.80,101.80,98.80,79.20
125s,102.20,100.80,101.20,101.60,102.00,99.80,79.40,79.20,99.00,78.80,101.80,102.00,99.80,102.20,97.40,79.00
130s,102.00,101.80,101.40,101.80,101.00,98.40,79.20,79.60,102.00,78.40,101.40,101.40,100.20,101.60,98.40,79.00
135s,102.00,102.00,102.00,101.80,102.20,99.80,92.80,78.60,100.00,75.19,99.00,101.87,98.60,102.20,81.80,78.80
140s,101.40,102.00,100.00,101.40,101.00,99.20,100.00,79.40,101.60,101.41,76.80,101.93,101.80,102.00,79.60,79.20
145s,101.80,102.00,101.20,101.60,102.00,100.60,99.00,79.20,101.00,102.40,77.60,101.80,102.20,102.40,79.40,77.00
150s,101.00,99.20,100.80,101.40,79.40,98.40,96.80,78.20,101.60,102.00,78.00,102.00,99.60,102.20,95.20,79.00
155s,101.80,102.00,101.40,102.00,78.00,101.80,101.60,79.40,101.40,101.40,79.40,102.00,98.80,101.40,100.20,79.00
160s,100.60,102.00,101.20,101.80,77.60,101.20,101.20,78.80,101.20,101.00,79.00,102.20,99.60,102.20,100.00,78.20
165s,101.80,100.80,101.20,100.80,77.00,102.20,101.20,79.40,101.60,99.40,79.60,102.00,97.60,102.40,101.60,79.00
170s,101.80,102.00,100.60,101.40,77.00,102.00,101.20,79.20,100.60,102.00,79.20,102.00,99.80,102.20,101.40,79.00
175s,102.20,101.60,102.20,102.00,78.80,102.20,101.40,79.60,101.60,100.60,80.00,98.60,98.40,102.00,102.01,78.20
180s,101.40,,,,,,,,,,,,,,,
Final_Avg_EPS,91.13,96.68,100.41,101.59,92.44,94.76,95.08,93.13,100.30,90.47,94.60,96.42,92.68,101.41,91.69,92.04
