Time(s),Instance_0,Instance_1,Instance_2,Instance_3,Instance_4,Instance_5,Instance_6,Instance_7
5s,101.96,101.96,101.56,101.36,101.96,102.16,101.56,101.16
10s,102.40,102.40,102.20,101.81,102.20,102.41,102.40,99.80
15s,101.80,102.40,102.40,102.40,101.20,102.40,102.40,100.20
20s,102.00,102.40,102.40,102.40,101.60,102.40,102.40,102.40
25s,102.40,102.20,102.40,102.40,101.40,102.40,102.40,102.40
30s,102.40,102.40,102.40,102.40,101.80,102.40,102.40,102.40
35s,102.40,102.60,102.40,102.20,101.60,102.60,102.60,102.40
40s,102.40,102.40,102.60,101.80,101.80,102.60,102.40,102.60
45s,102.60,102.60,102.60,102.00,102.00,102.60,102.60,102.40
50s,102.60,102.60,102.60,102.00,102.60,102.60,102.60,102.40
55s,102.60,102.60,102.60,101.40,102.40,102.60,102.60,102.20
60s,102.60,102.60,102.60,102.20,102.60,102.60,102.60,102.60
65s,102.60,102.60,102.60,102.40,102.60,102.60,102.60,102.20
70s,102.60,102.60,102.60,102.20,102.40,102.60,102.80,102.40
75s,102.60,102.60,102.60,102.40,102.60,102.60,102.40,102.40
80s,102.40,102.60,102.60,101.00,102.60,102.60,102.60,102.40
85s,102.60,102.60,102.60,101.40,102.40,102.60,102.00,102.60
90s,102.60,102.60,102.60,102.20,102.60,102.60,102.60,102.40
95s,102.60,102.40,102.40,101.80,102.40,102.60,102.40,102.00
100s,102.20,102.40,102.40,101.80,102.20,102.40,102.20,101.60
105s,102.00,102.00,102.20,102.00,102.20,101.80,101.80,101.00
110s,102.20,102.40,102.20,102.20,102.20,102.20,102.40,102.00
115s,102.20,102.40,102.40,102.40,102.40,102.20,102.40,101.20
120s,102.00,102.20,102.40,102.40,102.20,102.20,102.20,102.40
125s,102.20,102.40,102.40,102.40,102.40,102.20,102.40,102.40
130s,102.00,102.40,102.40,102.40,101.60,102.40,102.00,102.00
135s,102.20,102.60,102.40,102.60,102.20,102.60,101.80,102.00
140s,101.80,102.40,102.40,102.40,102.40,102.40,102.20,102.40
145s,101.40,102.40,102.40,102.40,102.20,102.40,102.00,102.40
150s,101.60,102.20,102.40,102.40,102.20,102.40,102.20,102.20
155s,101.60,102.60,102.40,102.40,102.40,102.40,102.20,102.60
160s,102.00,102.40,102.60,102.40,102.40,102.40,102.20,102.40
165s,101.60,102.40,102.40,102.40,102.20,102.40,102.20,102.00
170s,102.00,102.40,102.40,102.60,102.60,102.60,102.40,102.00
175s,101.20,102.60,102.60,102.40,102.40,102.40,102.00,101.40
180s,102.40,,,,,,,
Final_Avg_EPS,102.19,102.44,102.43,102.16,102.20,102.44,102.29,102.03
