Time(s),Instance_0,Instance_1,Instance_2,Instance_3,Instance_4,Instance_5
5s,9785031.42,9751729.78,9663491.16,9669760.84,9642973.09,9536726.07
10s,10587063.80,10597037.39,10588931.11,10644499.31,10610083.84,10626785.07
15s,10898428.65,10929571.29,10898198.42,10922128.29,10925978.52,10986074.36
20s,10631267.07,10626815.39,10647845.99,10639389.18,10616838.46,10595845.97
25s,10690949.24,10727901.17,10694788.31,10638114.87,10705612.18,10673624.78
30s,10712170.68,10689398.10,10661646.73,10725752.11,10733714.61,10799443.18
35s,11091192.82,11097457.12,11142142.88,11095784.49,11137936.48,11139639.57
40s,10621695.59,10719208.24,10628213.23,10677573.34,10624566.87,10632111.38
45s,10500198.02,10607643.69,10565792.64,10547984.38,10586845.26,10511073.74
50s,10000247.27,10120014.73,10049818.93,10000533.07,10000787.02,9992455.20
55s,9083531.10,9083001.36,9073030.96,9099248.59,9105560.87,9106293.56
60s,9099580.52,9111580.48,9161939.12,9138159.46,9080346.54,9120580.82
65s,9145855.38,9122415.92,9046594.77,9116152.12,9143077.27,9153766.22
70s,9013459.01,9035233.76,9007719.19,8983627.74,9002301.52,8988933.57
75s,9426141.73,9394065.32,9414568.11,9408278.11,9394122.55,9405059.82
80s,8888370.74,8928604.46,8896504.31,8976085.29,8928972.09,8884535.89
85s,8915817.12,8899932.06,8889421.73,8869043.20,8905050.80,8932215.69
90s,9269595.13,9290249.94,9301857.27,9321055.10,9329112.95,9316119.28
95s,9174361.33,9177382.39,9165686.92,9156175.56,9147310.30,9182174.27
100s,9996039.38,10037570.63,9959743.12,10030033.22,10093466.14,10050423.84
105s,9221156.86,9196803.21,9186680.93,9166458.05,9165872.53,9142337.82
110s,10425578.92,10444913.41,10382460.71,10481864.71,10506087.84,10472477.94
115s,10208417.33,10168495.97,10146911.28,10100167.47,10166929.24,10179765.47
120s,9912462.11,9885009.69,9842294.68,9855390.34,9834163.90,9827073.95
125s,9717135.15,9710785.97,9759306.40,9730107.29,9665661.21,9666770.49
130s,8927310.63,8929239.16,8937518.51,8958209.86,9020777.16,8990725.80
135s,8974064.52,8960518.58,8920402.07,8888304.95,8897310.52,8888995.42
140s,8960982.16,8955244.57,8988123.68,9036430.10,9018231.74,9058813.65
145s,8966754.76,8996065.54,9009362.84,9020668.59,8991136.70,8994407.02
150s,9167825.86,9170794.65,9110248.56,9111233.46,9134643.60,9132625.48
155s,9162532.52,9123222.53,9162075.96,9157851.44,9154401.68,9138939.44
160s,9452454.42,9477917.06,9427246.00,9399447.75,9407129.43,9421671.47
165s,9245290.84,9233792.64,9342393.99,9337729.34,9340924.17,9317458.37
170s,8657572.05,8672313.10,8641331.21,8620152.69,8650479.09,8671998.92
175s,8722391.75,8740465.15,8689258.10,8746829.28,8730516.18,8718788.05
Final_Avg_EPS,9611554.66,9621372.87,9606476.62,9616147.16,9621136.74,9619506.82
