Time(s),Instance_0
5s,15753932.10
10s,15699807.84
15s,15576490.78
20s,15536497.19
25s,15468303.60
30s,15434600.29
35s,15516390.39
40s,15425843.85
45s,15327015.71
50s,15418620.92
55s,15438068.55
60s,15500678.34
65s,15391084.49
70s,15316185.27
75s,15292966.22
80s,15392930.88
85s,15380902.99
90s,15458484.67
95s,15328846.40
100s,15375826.56
105s,15297792.02
110s,15370391.10
115s,15394745.36
120s,15366811.00
125s,13766505.21
130s,14167985.08
135s,14750728.36
140s,15101443.65
145s,15092070.99
150s,15159992.33
155s,15175989.30
160s,14832793.12
165s,15216807.86
170s,15019818.23
175s,15372269.80
Final_Avg_EPS,15261830.21
