Time(s),Instance_0,Instance_1,Instance_2,Instance_3,Instance_4,Instance_5,Instance_6,Instance_7,Instance_8,Instance_9,Instance_10,Instance_11
5s,5127041.22,4773105.40,4764693.84,4539025.73,4384249.95,4438199.14,4075016.25,4077368.34,4106484.44,4226992.66,4169220.35,4147062.59
10s,3861695.75,3670726.14,3790188.95,4024644.39,4045154.40,4005142.06,3858105.59,4007899.76,4003980.91,3953086.08,4156686.01,4040903.88
15s,3372518.12,3518161.86,3354759.73,3381660.52,3484513.81,3510766.22,3545880.53,3481477.43,3308196.21,3396707.73,3267458.38,3360968.53
20s,4085218.11,4141223.57,3984507.13,3956526.86,4066820.68,4031731.98,3949618.40,3879246.49,4067973.38,4046525.19,4002505.00,4034197.90
25s,3288025.70,3478017.24,3364618.04,3547319.25,3405149.54,3704964.77,3610017.24,3546484.41,3425256.67,3540061.76,3668226.03,3684929.62
30s,3939291.16,3790820.96,3821723.06,3822830.00,3814009.87,3679378.86,3651917.58,3601428.83,3877661.34,3894744.92,3739815.95,3795094.96
35s,2508490.57,2497645.51,2540111.07,2449362.32,2537235.50,2488572.72,2435141.16,2444983.74,2238159.28,2245780.04,2228002.60,2213535.54
40s,1071382.07,1008416.68,1072236.59,956627.55,970720.65,988005.01,970846.42,1010667.48,985787.28,952708.17,1059095.07,1159610.22
45s,932315.97,942002.81,1003305.30,927681.00,911297.65,977259.46,937341.35,971583.87,1099557.03,968222.20,894105.74,903660.06
50s,876175.62,873095.27,895715.28,892346.09,861270.51,829930.72,871015.31,850018.58,785810.98,735582.53,808384.45,809904.16
55s,724659.88,748334.69,772964.99,727999.49,713725.34,738680.85,763546.16,797020.15,776428.30,811094.93,749085.02,793129.13
60s,1033742.19,1037015.52,1014748.63,1091744.17,1022585.96,1032540.97,977125.45,1026325.43,1020758.01,1086006.40,1027764.43,1041015.24
65s,1050208.36,1060273.26,1142375.33,1110303.36,1120774.55,1110025.52,1067631.48,1029785.46,1056997.21,994021.16,1024666.30,1013948.66
70s,1124618.09,1091702.81,1180377.28,1129829.38,1134050.41,1098050.89,1132665.86,1101847.90,1080266.75,1106862.56,1091523.54,1097013.96
75s,948618.42,984147.52,957977.71,946691.24,921925.26,928240.82,1023921.14,991320.66,1054104.48,1003863.10,1068479.93,1000153.21
80s,1116853.32,1096140.22,1134760.92,1035469.61,1205923.58,1157045.89,1151918.23,1102095.31,1114541.92,1136036.24,1094915.13,1050582.25
85s,1009631.57,965883.62,998145.36,1002837.61,1049231.57,1010182.51,969703.48,963329.14,983384.42,1058231.74,1047717.65,1048904.14
90s,883129.31,993327.82,904799.92,873061.01,986476.31,985380.44,964186.02,957289.05,952089.48,942722.01,969571.73,968032.89
95s,1135268.97,1109833.52,1173847.72,1105624.61,1066423.65,1074900.85,1045484.54,1028846.25,1080747.45,968930.48,1059965.75,1058584.29
100s,1164714.00,1137489.52,1139704.98,1097261.64,1067517.80,1093320.11,1097336.98,1070572.34,1079181.59,1063011.96,1107249.48,1136865.09
105s,777969.42,843877.57,832769.49,816307.82,855307.10,838558.96,887367.36,795895.48,808822.45,839868.45,851098.55,792513.67
110s,1190631.59,1220733.17,1293029.49,1339038.40,1313085.13,1248016.03,1354802.29,1306694.74,1342676.96,1306878.78,1315559.17,1347681.87
115s,1292681.02,1302248.85,1162590.09,1204609.93,1226594.66,1278154.64,1244360.51,1228163.70,1220636.64,1205750.51,1218501.15,1189371.38
120s,1046293.71,1042713.29,1080907.17,1130055.73,1078052.32,996024.44,1112825.15,1057872.35,1058826.94,1059644.22,1130241.85,1110401.32
125s,1316345.89,1292416.07,1343329.29,1320403.38,1314850.88,1328403.92,1332587.02,1357615.85,1484772.73,1484379.21,1389279.58,1346916.24
130s,1288888.32,1210462.55,1255079.85,1215577.10,1210171.38,1175541.95,1261397.25,1135367.51,1181047.66,1182453.22,1204552.78,1153960.18
135s,1656645.60,1743734.04,1815388.07,1739127.19,1719932.51,1759737.58,1831651.85,1846384.15,1882230.85,1832336.88,1954209.60,1851464.40
140s,1991423.45,1919765.02,2004359.09,1940254.71,1994763.01,1866889.18,1936123.98,1771174.67,1732957.43,1896410.12,1874023.77,1858846.07
145s,1999932.19,1890052.59,1972615.60,1954602.10,1942465.94,2021886.46,1982543.81,1987387.38,2031640.28,1891104.29,1950673.27,1967702.47
150s,1502646.59,1554791.57,1590737.85,1626668.33,1566824.30,1527084.31,1504943.10,1608979.09,1526317.58,1488540.87,1604061.51,1547653.70
155s,1539273.61,1457933.94,1506371.61,1451428.66,1431002.04,1518835.61,1528336.30,1511073.71,1524388.09,1570527.83,1425773.94,1497511.28
160s,1160024.44,1144710.04,1163578.61,1162696.47,1178179.01,1103631.93,1134397.69,1073989.05,1101716.19,1092677.40,1032419.64,1042859.31
165s,1044792.82,1022518.25,1033769.94,1068267.22,1097372.96,1065591.11,1120796.63,1153670.53,1087678.84,1078599.62,1109051.76,984305.90
170s,1136403.98,1059601.37,1050457.71,1059716.05,988011.74,1016210.50,1120551.87,1115873.73,1115257.10,1111600.76,1046861.40,1184368.79
175s,1110359.00,1078570.20,999412.52,1047080.46,997693.80,1012841.51,1001113.04,972999.81,968481.41,980915.95,926386.67,917204.47
180s,912174.60,867107.88,902616.81,902267.75,943302.73,871108.84,842317.83,868579.48,909053.51,875646.26,837546.13,831489.39
185s,806520.90,838441.19,837356.39,764634.41,795433.52,774219.25,821255.04,829574.01,844087.64,912872.53,971167.24,934246.06
190s,1034179.86,1032835.14,1083949.76,1073488.30,1007773.20,1070394.94,1023126.98,1060956.21,1068815.82,1049530.58,979861.02,925448.42
195s,937869.40,932828.19,962865.22,1001506.39,1036365.54,968943.12,988326.96,985615.00,998615.08,983680.64,1009669.32,1003771.43
200s,1325768.26,1308490.04,1268947.97,1253700.27,1291473.42,1317679.89,1329659.61,1279871.43,1332475.72,1297780.10,1320003.77,1266839.85
205s,901442.10,949345.45,913941.17,969900.47,925431.72,926076.72,899355.50,821588.11,766902.03,779252.81,828844.96,813632.11
210s,972220.74,907459.92,949969.52,905092.84,870869.95,920808.58,875560.14,893987.13,964037.64,906857.67,1019186.43,1029637.66
215s,932733.97,893362.46,952513.00,985887.55,938583.60,979431.27,973432.96,915188.76,883926.56,908889.52,858420.00,818198.61
220s,738661.31,754014.44,775148.97,716894.80,781436.86,747796.66,821556.38,845723.93,882496.77,866789.86,875243.88,924112.86
225s,1077191.90,1021693.39,998697.24,999378.21,1013360.71,1024613.29,969565.75,951601.54,883587.06,901745.41,804163.82,841325.93
230s,1063142.12,1030368.55,1022122.44,1087307.49,1101512.68,1134654.45,1174397.92,1141568.61,1163051.73,1126417.55,1116520.50,1173181.08
235s,1104325.25,1157705.52,1120136.76,1151114.59,1143038.60,1168927.33,1232626.50,1198726.23,1165667.12,1153167.35,1185249.51,1129779.88
240s,806477.55,772868.98,805517.46,743514.94,821472.75,721457.34,739656.89,680236.47,732528.41,715259.10,778319.22,784074.88
245s,769865.90,817920.64,879302.62,805276.59,813126.39,878502.65,851771.71,934163.77,877844.47,910159.23,879442.60,909173.34
250s,856920.84,828739.80,741675.98,758550.98,820603.31,771730.48,785806.69,830092.64,831140.35,866478.57,869810.85,792179.69
255s,1079404.91,1036277.14,1110083.50,1055315.36,1115027.28,1065873.77,1142522.87,1035884.57,1119288.37,1008026.23,991659.11,1013574.79
260s,869761.44,832831.02,889366.44,872130.05,871279.57,910530.08,881465.46,888120.23,828648.16,891029.44,902834.00,954808.93
265s,1181413.71,1125479.02,1186107.97,1194723.01,1217647.26,1141318.72,1160795.58,1208889.59,1113905.73,1115881.11,1085715.29,1124971.04
270s,1064358.07,1077137.51,960988.56,1001581.37,1022123.19,964255.84,1003436.57,1032627.68,988963.70,985147.90,1047226.95,974801.00
275s,1039945.14,983670.09,1030406.78,1061230.33,997353.66,1068411.20,1085503.18,1122820.71,1136575.19,1079235.43,1151546.89,1121461.40
280s,986963.15,965874.09,979210.56,1010253.99,888395.80,843941.12,889069.66,818013.24,836197.74,843978.58,816373.24,811559.60
285s,953807.27,976038.77,940128.70,995086.12,963956.58,920181.95,941606.47,932120.68,933216.72,934483.20,933579.80,935136.56
290s,852255.56,904851.83,927718.52,947036.63,961386.52,934348.97,911905.69,963582.84,954593.31,986104.32,903257.70,928010.30
295s,1001589.42,995975.76,1055744.86,1074458.77,1042604.97,1119581.54,1117615.96,1156117.28,1174684.03,1202777.62,1167426.49,1202238.48
300s,1136322.06,1127879.22,1106963.94,1145299.65,1074878.40,1091149.97,1013470.45,1119434.95,1134941.67,1201441.44,1134484.16,1199273.20
305s,937615.09,962292.30,1004432.15,991658.15,996363.09,934195.27,953335.97,931516.42,960062.79,932438.77,969347.41,928308.57
310s,1018003.00,970208.31,928796.87,925570.32,992071.99,942141.80,915125.49,934990.78,898037.81,936506.96,880847.11,1009836.75
315s,1081460.79,1088417.75,1186375.44,1040034.57,1105956.37,1124892.03,1077516.19,1091509.27,1161078.20,1156228.33,1216369.53,1091212.93
320s,938487.28,966011.44,1030864.16,965020.01,903979.82,1028542.28,1009036.36,993208.48,1044543.33,1070126.12,1124661.85,1129859.62
325s,1308300.66,1218001.64,1245213.99,1393663.49,1286663.21,1282661.15,1240925.13,1263226.50,1307737.55,1205140.10,1137982.93,1150083.49
330s,915141.03,869676.36,866615.82,922349.92,875914.47,853340.37,867069.42,861799.51,824323.38,895596.43,869395.38,888177.82
335s,1131318.92,1057993.47,1087476.19,1060880.90,1058815.41,1115560.30,1123443.68,1126051.63,1179410.44,1063313.25,1171106.27,1114090.72
340s,996961.26,969666.10,1012566.18,1026793.28,1015286.56,1054465.74,1025045.04,1004984.38,986060.16,998499.22,971709.46,998854.08
345s,969736.95,910227.98,909795.48,878045.44,943720.81,868175.08,829034.09,831048.98,833239.65,805674.64,888446.54,889868.77
350s,917637.53,905346.96,888496.31,910718.70,847814.04,886258.48,893696.24,966925.55,991747.46,963303.54,975147.17,954612.80
355s,1144849.39,1151185.38,1163684.30,1130390.61,1065443.47,1159740.01,1228877.48,1139214.23,1086122.51,1088561.99,1096678.69,1012362.90
Final_Avg_EPS,1329302.65,1313198.34,1327098.92,1322897.04,1321611.29,1322383.91,1322193.28,1316017.19,1323671.36,1324314.21,1329298.12,1328321.45
