Time(s),Instance_0,Instance_1,Instance_2,Instance_3
5s,86.50,86.49,86.30,86.49
10s,86.81,86.61,86.61,86.61
15s,86.80,86.60,86.60,86.60
20s,86.60,86.80,86.40,86.60
25s,86.80,86.40,86.40,86.60
30s,86.80,86.60,86.60,86.60
35s,86.80,86.60,86.60,86.60
40s,86.80,86.80,86.60,86.60
45s,86.60,86.60,86.60,86.60
50s,86.80,86.60,86.60,86.40
55s,86.80,86.60,86.80,86.60
60s,86.80,86.60,86.60,86.60
65s,86.80,86.60,86.60,86.60
70s,86.80,86.60,86.60,86.60
75s,86.60,86.20,86.80,86.40
80s,86.80,86.60,86.60,86.60
85s,86.80,86.60,86.60,86.60
90s,86.80,86.80,86.60,86.60
95s,86.80,86.60,86.60,86.40
100s,86.60,86.60,86.80,86.60
105s,86.80,86.60,86.60,86.60
110s,86.80,86.60,86.60,86.60
115s,86.80,86.60,86.60,86.60
120s,86.80,86.60,86.80,86.60
125s,86.60,86.60,86.60,86.60
130s,86.80,86.60,86.60,86.60
135s,86.80,86.60,86.60,86.60
140s,86.80,86.60,86.60,86.60
145s,86.80,86.60,86.80,86.20
150s,86.60,86.60,86.60,86.60
155s,86.80,86.60,86.60,86.60
160s,86.80,86.60,86.60,86.60
165s,86.80,86.60,86.60,86.60
170s,86.80,86.60,86.80,86.60
175s,86.80,86.60,86.60,86.60
Final_Avg_EPS,86.74,86.60,86.62,86.57
