Time(s),Instance_0,Instance_1
5s,86.50,86.49
10s,86.81,86.81
15s,86.80,86.80
20s,86.80,86.80
25s,86.60,86.80
30s,86.80,86.80
35s,86.80,86.80
40s,86.80,86.80
45s,86.80,86.80
50s,86.80,86.80
55s,86.60,86.80
60s,86.80,86.80
65s,86.80,86.80
70s,86.80,86.60
75s,86.80,86.80
80s,86.60,86.80
85s,86.80,86.80
90s,86.80,86.80
95s,86.80,86.80
100s,86.80,86.80
105s,86.80,86.80
110s,86.60,86.80
115s,86.80,86.80
120s,86.80,86.80
125s,86.80,86.80
130s,86.80,86.80
135s,86.60,86.80
140s,86.80,86.80
145s,86.80,86.60
150s,86.80,86.80
155s,86.80,86.80
160s,86.80,86.80
165s,86.60,86.80
170s,86.80,86.80
175s,86.80,86.80
180s,86.80,
Final_Avg_EPS,86.76,86.78
